Month,Day,Quarter,Department,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,wip_mean,wip_median,wip_knn,wip_rf
1,4,1,1,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,1108.0,1108.0,1108.0,1108.0
1,4,1,2,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865,1190.0,1039.0,818.0,738.0
1,4,1,1,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,968.0,968.0,968.0,968.0
1,4,1,1,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,968.0,968.0,968.0,968.0
1,4,1,1,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,1170.0,1170.0,1170.0,1170.0
1,4,1,1,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,984.0,984.0,984.0,984.0
1,4,1,2,2,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667,1190.0,1039.0,818.0,640.0
1,4,1,1,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,795.0,795.0,795.0,795.0
1,4,1,1,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,733.0,733.0,733.0,733.0
1,4,1,1,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,681.0,681.0,681.0,681.0
1,4,1,1,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,872.0,872.0,872.0,872.0
1,4,1,1,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,578.0,578.0,578.0,578.0
1,4,1,1,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,668.0,668.0,668.0,668.0
1,4,1,2,10,0.65,3.94,,960,0,0.0,0,0,8.0,0.705916667,1190.0,1039.0,818.0,716.0
1,4,1,2,8,0.75,2.9,,960,0,0.0,0,0,8.0,0.676666667,1190.0,1039.0,818.0,707.0
1,4,1,2,4,0.75,3.94,,2160,0,0.0,0,0,18.0,0.593055556,1190.0,1039.0,888.0,686.0
1,4,1,2,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.540729167,1190.0,1039.0,818.0,677.0
1,4,1,1,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,861.0,861.0,861.0,861.0
1,4,1,2,11,0.7,4.15,,1440,0,0.0,0,0,12.0,0.436326389,1190.0,1039.0,908.0,693.0
1,6,1,2,4,0.8,4.15,,6600,0,0.0,0,0,20.0,0.988024691,1190.0,1039.0,1060.0,882.0
1,6,1,2,11,0.75,2.9,,5640,0,0.0,0,0,17.0,0.987880435,1190.0,1039.0,1016.0,869.0
1,6,1,2,9,0.8,4.15,,960,0,0.0,0,0,8.0,0.956270833,1190.0,1039.0,818.0,842.0
1,6,1,2,3,0.75,3.94,,1560,0,0.0,0,0,8.0,0.945277778,1190.0,1039.0,841.0,804.0
1,6,1,2,1,0.8,3.94,,960,0,0.0,0,0,8.0,0.902916667,1190.0,1039.0,818.0,1008.0
1,6,1,1,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,772.0,772.0,772.0,772.0
1,6,1,1,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,913.0,913.0,913.0,913.0
